date,BOM Data,Weather Station Data
15/06/2019 01:00,14.28,0.0
15/06/2019 02:00,14.28,0.0
15/06/2019 03:00,14.28,0.0
15/06/2019 04:00,14.28,0.0
15/06/2019 05:00,14.28,0.0
15/06/2019 06:00,14.28,0.0
15/06/2019 07:00,14.28,0.0
15/06/2019 08:00,14.28,0.0
15/06/2019 09:00,14.28,0.0
15/06/2019 10:00,14.28,0.0
15/06/2019 11:00,14.28,0.0
15/06/2019 12:00,14.28,0.0
15/06/2019 13:00,14.28,0.0
15/06/2019 14:00,14.28,0.0
15/06/2019 15:00,14.28,0.0
15/06/2019 16:00,14.28,0.0
15/06/2019 17:00,14.28,0.0
15/06/2019 18:00,14.28,0.0
15/06/2019 19:00,14.28,0.0
15/06/2019 20:00,14.28,0.0
15/06/2019 21:00,14.28,0.0
15/06/2019 22:00,14.28,0.0
15/06/2019 23:00,14.28,0.0
16/06/2019 00:00,12.48,0.0
16/06/2019 01:00,12.48,0.0
16/06/2019 02:00,12.48,0.0
16/06/2019 03:00,12.48,0.0
16/06/2019 04:00,12.48,0.0
16/06/2019 05:00,12.48,0.0
16/06/2019 06:00,12.48,0.0
16/06/2019 07:00,12.48,0.0
16/06/2019 08:00,12.48,0.0
16/06/2019 09:00,12.48,0.0
16/06/2019 10:00,12.48,0.0
16/06/2019 11:00,12.48,0.0
16/06/2019 12:00,12.48,0.0
16/06/2019 13:00,12.48,0.0
16/06/2019 14:00,12.48,0.0
16/06/2019 15:00,12.48,0.0
16/06/2019 16:00,12.48,0.0
16/06/2019 17:00,12.48,0.0
16/06/2019 18:00,12.48,0.0
16/06/2019 19:00,12.48,0.0
16/06/2019 20:00,12.48,0.0
16/06/2019 21:00,12.48,0.0
16/06/2019 22:00,12.48,0.0
16/06/2019 23:00,12.48,0.0
17/06/2019 00:00,13.99,0.0
17/06/2019 01:00,13.99,0.0
17/06/2019 02:00,13.99,0.0
17/06/2019 03:00,13.99,0.0
17/06/2019 04:00,13.99,0.0
17/06/2019 05:00,13.99,0.0
17/06/2019 06:00,13.99,0.0
17/06/2019 07:00,13.99,0.0
17/06/2019 08:00,13.99,0.0
17/06/2019 09:00,13.99,0.0
17/06/2019 10:00,13.99,0.0
17/06/2019 11:00,13.99,0.0
17/06/2019 12:00,13.99,0.0
17/06/2019 13:00,13.99,0.0
17/06/2019 14:00,13.99,0.0
17/06/2019 15:00,13.99,0.0
17/06/2019 16:00,13.99,0.0
17/06/2019 17:00,13.99,0.0
17/06/2019 18:00,13.99,0.0
17/06/2019 19:00,13.99,0.0
17/06/2019 20:00,13.99,0.0
17/06/2019 21:00,13.99,0.0
17/06/2019 22:00,13.99,0.0
17/06/2019 23:00,13.99,0.0
18/06/2019 00:00,14.26,0.0
18/06/2019 01:00,14.26,0.0
18/06/2019 02:00,14.26,0.0
18/06/2019 03:00,14.26,0.0
18/06/2019 04:00,14.26,0.0
18/06/2019 05:00,14.26,0.0
18/06/2019 06:00,14.26,0.0
18/06/2019 07:00,14.26,0.0
18/06/2019 08:00,14.26,0.0
18/06/2019 09:00,14.26,0.0
18/06/2019 10:00,14.26,0.0
18/06/2019 11:00,14.26,0.0
18/06/2019 12:00,14.26,0.0
18/06/2019 13:00,14.26,0.0
18/06/2019 14:00,14.26,0.0
18/06/2019 15:00,14.26,0.0
18/06/2019 16:00,14.26,0.0
18/06/2019 17:00,14.26,0.0
18/06/2019 18:00,14.26,0.0
18/06/2019 19:00,14.26,0.0
18/06/2019 20:00,14.26,0.0
18/06/2019 21:00,14.26,0.0
18/06/2019 22:00,14.26,0.0
18/06/2019 23:00,14.26,0.0
19/06/2019 00:00,14.21,0.0
19/06/2019 01:00,14.21,0.0
19/06/2019 02:00,14.21,0.0
19/06/2019 03:00,14.21,0.0
19/06/2019 04:00,14.21,0.0
19/06/2019 05:00,14.21,0.0
19/06/2019 06:00,14.21,0.0
19/06/2019 07:00,14.21,0.0
19/06/2019 08:00,14.21,0.0
19/06/2019 09:00,14.21,0.0
19/06/2019 10:00,14.21,0.0
19/06/2019 11:00,14.21,0.0
19/06/2019 12:00,14.21,0.0
19/06/2019 13:00,14.21,0.0
19/06/2019 14:00,14.21,0.0
19/06/2019 15:00,14.21,0.0
19/06/2019 16:00,14.21,0.0
19/06/2019 17:00,14.21,0.0
19/06/2019 18:00,14.21,0.0
19/06/2019 19:00,14.21,0.0
19/06/2019 20:00,14.21,0.0
19/06/2019 21:00,14.21,0.0
19/06/2019 22:00,14.21,0.0
19/06/2019 23:00,14.21,0.0
20/06/2019 00:00,5.49,0.0
20/06/2019 01:00,5.49,0.0
20/06/2019 02:00,5.49,0.0
20/06/2019 03:00,5.49,0.0
20/06/2019 04:00,5.49,0.0
20/06/2019 05:00,5.49,0.0
20/06/2019 06:00,5.49,0.0
20/06/2019 07:00,5.49,0.0
20/06/2019 08:00,5.49,0.0
20/06/2019 09:00,5.49,0.0
20/06/2019 10:00,5.49,0.0
20/06/2019 11:00,5.49,0.0
20/06/2019 12:00,5.49,0.0
20/06/2019 13:00,5.49,0.0
20/06/2019 14:00,5.49,0.0
20/06/2019 15:00,5.49,0.0
20/06/2019 16:00,5.49,0.0
20/06/2019 17:00,5.49,0.0
20/06/2019 18:00,5.49,0.0
20/06/2019 19:00,5.49,0.0
20/06/2019 20:00,5.49,0.0
20/06/2019 21:00,5.49,0.0
20/06/2019 22:00,5.49,0.0
20/06/2019 23:00,5.49,0.0
21/06/2019 00:00,14.13,0.0
21/06/2019 01:00,14.13,0.0
21/06/2019 02:00,14.13,0.0
21/06/2019 03:00,14.13,0.0
21/06/2019 04:00,14.13,0.0
21/06/2019 05:00,14.13,0.0
21/06/2019 06:00,14.13,0.0
21/06/2019 07:00,14.13,0.0
21/06/2019 08:00,14.13,0.0
21/06/2019 09:00,14.13,0.0
21/06/2019 10:00,14.13,0.0
21/06/2019 11:00,14.13,0.0
21/06/2019 12:00,14.13,0.0
21/06/2019 13:00,14.13,0.0
21/06/2019 14:00,14.13,0.0
21/06/2019 15:00,14.13,0.0
21/06/2019 16:00,14.13,0.0
21/06/2019 17:00,14.13,0.0
21/06/2019 18:00,14.13,0.0
21/06/2019 19:00,14.13,0.0
21/06/2019 20:00,14.13,0.0
21/06/2019 21:00,14.13,0.0
21/06/2019 22:00,14.13,0.0
21/06/2019 23:00,14.13,0.0
22/06/2019 00:00,14.26,0.0
22/06/2019 01:00,14.26,0.0
22/06/2019 02:00,14.26,0.0
22/06/2019 03:00,14.26,0.0
22/06/2019 04:00,14.26,0.0
22/06/2019 05:00,14.26,0.0
22/06/2019 06:00,14.26,0.0
22/06/2019 07:00,14.26,0.0
22/06/2019 08:00,14.26,0.0
22/06/2019 09:00,14.26,0.0
22/06/2019 10:00,14.26,0.0
22/06/2019 11:00,14.26,0.0
22/06/2019 12:00,14.26,0.0
22/06/2019 13:00,14.26,0.0
22/06/2019 14:00,14.26,0.0
22/06/2019 15:00,14.26,0.0
22/06/2019 16:00,14.26,0.0
22/06/2019 17:00,14.26,0.0
22/06/2019 18:00,14.26,0.0
22/06/2019 19:00,14.26,0.0
22/06/2019 20:00,14.26,0.0
22/06/2019 21:00,14.26,0.0
22/06/2019 22:00,14.26,0.0
22/06/2019 23:00,14.26,0.0
23/06/2019 00:00,13.94,0.0
23/06/2019 01:00,13.94,0.0
23/06/2019 02:00,13.94,0.0
23/06/2019 03:00,13.94,0.0
23/06/2019 04:00,13.94,0.0
23/06/2019 05:00,13.94,0.0
23/06/2019 06:00,13.94,0.0
23/06/2019 07:00,13.94,0.0
23/06/2019 08:00,13.94,0.0
23/06/2019 09:00,13.94,0.0
23/06/2019 10:00,13.94,0.0
23/06/2019 11:00,13.94,0.0
23/06/2019 12:00,13.94,0.0
23/06/2019 13:00,13.94,0.0
23/06/2019 14:00,13.94,0.0
23/06/2019 15:00,13.94,0.0
23/06/2019 16:00,13.94,0.0
23/06/2019 17:00,13.94,0.0
23/06/2019 18:00,13.94,0.0
23/06/2019 19:00,13.94,0.0
23/06/2019 20:00,13.94,0.0
23/06/2019 21:00,13.94,0.0
23/06/2019 22:00,13.94,0.0
23/06/2019 23:00,13.94,0.0
24/06/2019 00:00,14.22,0.0
24/06/2019 01:00,14.22,0.0
24/06/2019 02:00,14.22,0.0
24/06/2019 03:00,14.22,0.0
24/06/2019 04:00,14.22,0.0
24/06/2019 05:00,14.22,0.0
24/06/2019 06:00,14.22,0.0
24/06/2019 07:00,14.22,0.0
24/06/2019 08:00,14.22,0.0
24/06/2019 09:00,14.22,0.0
24/06/2019 10:00,14.22,0.0
24/06/2019 11:00,14.22,0.0
24/06/2019 12:00,14.22,0.0
24/06/2019 13:00,14.22,0.0
24/06/2019 14:00,14.22,0.0
24/06/2019 15:00,14.22,0.0
24/06/2019 16:00,14.22,68.115
24/06/2019 17:00,14.22,1.57
24/06/2019 18:00,14.22,0.0
24/06/2019 19:00,14.22,0.0
24/06/2019 20:00,14.22,0.0
24/06/2019 21:00,14.22,0.0
24/06/2019 22:00,14.22,0.0
24/06/2019 23:00,14.22,0.0
25/06/2019 00:00,9.43,0.0
25/06/2019 01:00,9.43,0.0
25/06/2019 02:00,9.43,0.0
25/06/2019 03:00,9.43,0.0
25/06/2019 04:00,9.43,0.0
25/06/2019 05:00,9.43,0.0
25/06/2019 06:00,9.43,0.0
25/06/2019 07:00,9.43,23.3
25/06/2019 08:00,9.43,151.245
25/06/2019 09:00,9.43,262.685
25/06/2019 10:00,9.43,270.245
25/06/2019 11:00,9.43,192.1
25/06/2019 12:00,9.43,218.13
25/06/2019 13:00,9.43,333.355
25/06/2019 14:00,9.43,260.81
25/06/2019 15:00,9.43,207.04
25/06/2019 16:00,9.43,71.26
25/06/2019 17:00,9.43,0.87
25/06/2019 18:00,9.43,0.0
